pID,CSpR_ACQ,CSpR_REACT,CSpR_EXT,CSpR_EXT-RE,CSpR_REN,CSpNR_ACQ,CSpNR_REACT,CSpNR_EXT,CSpNR_EXT-RE,CSpNR_REN,CSm_ACQ,CSm_REACT,CSm_EXT,CSm_EXT-RE,CSm_REN,CSpACQ_ACQ,CSpACQ_REACT,CSpACQ_EXT,CSpACQ_EXT-RE,CSpACQ_REN
p001,10,10,0,0,2,10,,0,0,2,0,,0,0,0,,,10,10,7
p002,6,0,2,1,1,10,,1,1,3,0,,0,1,2,,,9,9,8
p003,5,6,8,1,5,9,,10,1,5,0,,0,0,0,,,3,10,4
p004,8,0,1,0,0,10,,2,0,0,0,,0,0,0,,,10,10,10
p005,10,6,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p006,10,0,1,0,2,10,,1,0,4,10,,0,0,0,,,9,10,10
p007,10,10,4,0,1,10,,2,0,1,0,,2,0,0,,,10,10,10
p008,10,7,0,0,0,10,,0,1,0,0,,0,0,0,,,10,10,10
p009,10,9,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p010,10,8,1,0,1,10,,1,0,1,1,,0,0,0,,,10,10,10
p011,10,8,4,0,1,10,,5,1,1,0,,3,0,0,,,10,10,10
p012,10,,,,,10,,,,,1,,,,,,,,,
p013,10,8,0,0,0,10,,0,0,0,0,,1,0,0,,,10,10,10
p014,7,8,1,1,4,10,,1,0,3,0,,3,1,0,,,10,10,9
p015,10,9,0,0,1,10,,0,0,1,0,,0,0,0,,,10,10,10
p016,10,10,0,0,0,8,,0,0,0,0,,0,0,0,,,10,10,10
p017,9,10,0,0,0,9,,0,0,0,0,,0,0,0,,,10,10,10
p018,10,10,3,0,0,10,,3,0,1,0,,0,0,0,,,10,10,10
p019,10,10,1,0,1,10,,0,0,0,0,,0,0,0,,,10,10,10
p020,10,10,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p021,10,7,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p022,10,7,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p023,9,7,1,1,3,9,,1,1,3,1,,3,2,3,,,9,9,7
p024,10,10,0,0,1,10,,0,0,1,0,,0,0,0,,,10,10,10
p025,10,9,0,0,1,9,,3,0,1,1,,0,0,0,,,9,10,10
p026,10,10,4,2,6,10,,5,2,6,0,,7,0,0,,,7,8,8
p027,10,10,2,1,0,10,,6,2,1,0,,0,0,0,,,9,10,10
p028,9,8,0,0,0,10,,0,0,0,0,,0,0,0,,,10,10,10
p029,10,8,1,0,1,10,,1,0,1,0,,1,0,1,,,9,10,9
p030,8,7,2,1,1,10,,3,2,3,2,,0,0,0,,,10,10,9