pID,CSplusR_ACQ_t1,CSplusR_ACQ_t2,CSplusR_ACQ_t3,CSplusR_ACQ_t4,CSplusR_ACQ_t5,CSplusR_ACQ_t6,CSplusR_ACQ_t7,CSplusR_ACQ_t8,CSplusR_REACT_t1,CSplusR_EXT_t1,CSplusR_EXT_t2,CSplusR_EXT_t3,CSplusR_EXT_t4,CSplusR_EXT_t5,CSplusR_EXT_t6,CSplusR_EXT_t7,CSplusR_EXT_t8,CSplusR_EXT_t9,CSplusR_EXT_t10,CSplusR_EXT_t11,CSplusR_EXT_t12,CSplusR_EXT-RE_t1,CSplusR_EXT-RE_t2,CSplusR_EXT-RE_t3,CSplusR_EXT-RE_t4,CSplusR_EXT-RE_t5,CSplusR_EXT-RE_t6,CSplusR_REN_t1,CSplusR_REN_t2,CSplusR_REN_t3,CSplusR_REN_t4,CSplusR_REN_t5,CSplusR_REN_t6,CSplusNR_ACQ_t1,CSplusNR_ACQ_t2,CSplusNR_ACQ_t3,CSplusNR_ACQ_t4,CSplusNR_ACQ_t5,CSplusNR_ACQ_t6,CSplusNR_ACQ_t7,CSplusNR_ACQ_t8,CSplusNR_REACT_t1,CSplusNR_EXT_t1,CSplusNR_EXT_t2,CSplusNR_EXT_t3,CSplusNR_EXT_t4,CSplusNR_EXT_t5,CSplusNR_EXT_t6,CSplusNR_EXT_t7,CSplusNR_EXT_t8,CSplusNR_EXT_t9,CSplusNR_EXT_t10,CSplusNR_EXT_t11,CSplusNR_EXT_t12,CSplusNR_EXT-RE_t1,CSplusNR_EXT-RE_t2,CSplusNR_EXT-RE_t3,CSplusNR_EXT-RE_t4,CSplusNR_EXT-RE_t5,CSplusNR_EXT-RE_t6,CSplusNR_REN_t1,CSplusNR_REN_t2,CSplusNR_REN_t3,CSplusNR_REN_t4,CSplusNR_REN_t5,CSplusNR_REN_t6,Csminus_ACQ_t1,Csminus_ACQ_t2,Csminus_ACQ_t3,Csminus_ACQ_t4,Csminus_ACQ_t5,Csminus_ACQ_t6,Csminus_ACQ_t7,Csminus_ACQ_t8,Csminus_REACT_t1,Csminus_EXT_t1,Csminus_EXT_t2,Csminus_EXT_t3,Csminus_EXT_t4,Csminus_EXT_t5,Csminus_EXT_t6,Csminus_EXT_t7,Csminus_EXT_t8,Csminus_EXT_t9,Csminus_EXT_t10,Csminus_EXT_t11,Csminus_EXT_t12,Csminus_EXT-RE_t1,Csminus_EXT-RE_t2,Csminus_EXT-RE_t3,Csminus_EXT-RE_t4,Csminus_EXT-RE_t5,Csminus_EXT-RE_t6,Csminus_REN_t1,Csminus_REN_t2,Csminus_REN_t3,Csminus_REN_t4,Csminus_REN_t5,Csminus_REN_t6,CSplusACQ_ACQ_t1,CSplusACQ_ACQ_t2,CSplusACQ_ACQ_t3,CSplusACQ_ACQ_t4,CSplusACQ_ACQ_t5,CSplusACQ_ACQ_t6,CSplusACQ_ACQ_t7,CSplusACQ_ACQ_t8,CSplusACQ_REACT_t1,CSplusACQ_EXT_t1,CSplusACQ_EXT_t2,CSplusACQ_EXT_t3,CSplusACQ_EXT_t4,CSplusACQ_EXT_t5,CSplusACQ_EXT_t6,CSplusACQ_EXT_t7,CSplusACQ_EXT_t8,CSplusACQ_EXT_t9,CSplusACQ_EXT_t10,CSplusACQ_EXT_t11,CSplusACQ_EXT_t12,CSplusACQ_EXT-RE_t1,CSplusACQ_EXT-RE_t2,CSplusACQ_EXT-RE_t3,CSplusACQ_EXT-RE_t4,CSplusACQ_EXT-RE_t5,CSplusACQ_EXT-RE_t6,CSplusACQ_REN_t1,CSplusACQ_REN_t2,CSplusACQ_REN_t3,CSplusACQ_REN_t4,CSplusACQ_REN_t5,CSplusACQ_REN_t6
p001,0.06718390871,0.764150538,-0.5896172931,-0.5648232224,1.071250459,-0.1215892615,0.2344094224,-0.5720367949,1.653734807,-1.05663761,-1.073250086,-1.069529738,-1.078126701,-1.072415422,-1.080287951,-1.079341043,-1.083287702,-1.074436196,-1.080677073,-1.080162485,-1.050824302,-1.071603786,-1.072078702,-1.083354152,-1.073748287,-1.074217047,-1.072136944,-0.9994983256,-1.063935433,-1.080243151,-1.079835042,-1.077621561,-1.07982038,1.466496863,0.5244900693,0.1031105225,3.091974855,-0.6013732676,-0.62081399,0.8846941667,-0.5942531323,,-1.075697852,-1.071036713,-1.074700834,-1.079791423,-1.075235076,-1.079915413,-1.078659153,-1.079151037,-1.080325418,-1.080558476,-1.083047488,-1.073204914,-1.068684939,-1.076085557,-1.081282159,-1.078737874,-1.077889989,-1.072209963,-1.048205122,-1.086790998,-1.078507227,-1.0712359,-1.064300822,-1.081691094,1.180407756,-0.7663533419,-0.4065438964,-0.8228690343,-0.8113385415,-0.9650859487,-1.020433956,-0.9310368799,,-1.054001624,-1.06290027,-1.076514218,-1.079044725,-1.077370111,-1.080274557,-1.083847637,-1.044502464,-1.079754289,-1.070998104,-1.079529682,-1.07830285,-1.080520022,-1.073459804,-1.078579988,-1.071532834,-1.079471129,-1.080650035,-1.061295592,-1.074368622,-1.072884081,-1.081885208,-1.081280282,-1.081250125,,,,,,,,,,-1.058424082,-1.038975645,-1.056669149,-1.039298435,-1.049036547,-1.047485228,-1.046277121,-1.046273765,-1.037786912,-1.053688771,-1.035539531,-1.032871604,-1.02146231,-1.024491786,-1.025101719,-1.01676515,-1.017408049,-1.017077561,-0.9216066227,-0.9806513358,-0.9870751046,-0.9926302772,-0.9949625699,-0.9927525991
p002,-0.3064445149,-0.1582806985,-0.3910595917,0.09386783592,-0.3349954941,-1.437559768,0.6671573921,-1.470049955,6.041252577,4.612512005,4.086274028,-1.291896595,1.108169022,-0.9825279914,-1.352910924,-1.351254249,-1.393604778,-1.509814541,-1.504554205,-1.389410144,-1.499876971,-1.602642332,-1.467140008,-1.460021093,0.4373318782,-1.426902398,-1.56406371,-0.8836188485,-1.470397518,-1.46830886,-1.470836205,-1.477011194,-1.259591446,0.6869519646,0.7691405569,0.7290145181,-0.3324696272,0.5926327827,0.3964608231,-0.7525493756,1.333751612,,10.15914021,-0.9946613756,-1.332570873,1.381239034,-1.48991788,-1.318079584,-1.317283154,-0.2096811553,-1.480475373,2.281440549,-1.497832932,-1.392586546,0.2845466495,-0.03172471573,-1.509098083,0.10296227,-1.523623437,-0.9867690229,5.324611764,-1.242036006,-1.506806252,-1.531274205,-1.471693068,-1.496397596,1.70646078,-0.86938887,-0.5241400236,-0.3562686152,2.200455915,-1.381286523,0.6144781337,-1.475879257,,3.735800131,-0.124202071,7.429297297,-1.310248599,-1.506503425,-1.440140244,-1.458024121,-1.497808383,-1.399112284,-1.406880359,-0.1553568035,4.524023604,2.218221418,-1.147223815,-1.528477853,-1.482258762,-0.9776378696,-1.353980444,-0.9244828392,-1.362449032,-1.284383354,-1.524670012,-1.551177784,-1.44686555,,,,,,,,,,-1.30163095,-0.9507376738,0.6029968577,0.7444292068,2.074184291,3.217884042,-1.47691871,-1.568681356,-1.545361334,0.4172426957,0.8068889143,-1.376148281,1.573987444,-1.535406368,-0.9751044864,-1.456427385,3.9953596,-1.351701168,3.195730764,-0.5642973436,-1.019811714,-1.082015946,1.043635043,1.611468409
p003,-0.1739522181,2.210950534,0.6116296693,-0.5966483443,-0.5406745537,-0.03461955375,0.2062611393,0.06381784607,3.502495104,0.6081671792,0.02527187285,-0.7503615496,-0.7400654126,-0.7600115151,-0.7596068205,-0.7737556952,-0.7525928572,-0.7353292227,-0.7504191853,-0.6785090078,-0.750134428,0.5649197075,-0.7597532163,-0.7580650722,-0.7494407291,-0.7668841941,-0.7608291687,-0.07414867351,-0.7342218954,-0.7394013909,-0.7351123241,-0.7480393768,-0.7413830028,0.2292475967,3.540321379,-0.5118410114,-0.2206232005,-0.70690275,-0.138318124,0.2447368345,-0.04925211229,,1.248982288,-0.2520905492,-0.4265594086,-0.6588488525,-0.7373470032,-0.7498743517,-0.7655895725,-0.7437545887,-0.7624469366,-0.7456693118,-0.7309117177,-0.7283195481,-0.1287924047,-0.7454449023,-0.7532652635,-0.7634090895,-0.6776264437,-0.7512034962,-0.7482382205,-0.7546089254,-0.5982711361,-0.7610028957,-0.7585821352,-0.756951414,-0.2883262697,0.5198258437,-0.7046625258,-0.7274995246,-0.7281435459,-0.7737556952,-0.7053375095,-0.7262339042,,0.1359060204,0.572475433,-0.5161881458,-0.7574042775,-0.7239124706,-0.7007115439,-0.7599825142,-0.7555688697,-0.720997557,-0.7624392144,-0.7636967143,-0.7545086769,-0.4577239032,-0.7443720198,-0.7376815171,-0.760572816,-0.7655855731,-0.7647303899,-0.05046730191,-0.7559205578,-0.7626423003,-0.7538792378,-0.7620479486,-0.7631996635,,,,,,,,,,1.490185931,0.6137993723,0.5995073144,0.7790786679,0.1875473118,0.779852935,0.8604177967,0.646013106,1.165657971,0.01351594315,0.9794867716,0.1091850936,0.3573540209,-0.347024662,-0.5737865238,-0.03793833845,-0.0825693778,-0.5656718344,-0.1418490266,-0.4976549961,-0.1864674877,-0.5570242415,-0.1078852778,-0.1431873756
p004,0.3685780419,-0.2282528998,1.20864354,0.4915035583,0.4556424425,0.09190590324,0.7254236411,0.3647599672,-1.427555226,9.026322468,-1.570952527,-1.72087091,-1.687651648,-1.934608469,-1.742118913,-0.1715511387,7.775281405,-1.767782335,-1.434749042,-1.692110301,-1.739466136,-1.943237346,-1.984283591,,-1.113719102,-1.661985993,-1.587468639,-1.791495504,-1.764489007,-1.771914431,-1.144898678,-1.857509151,-1.884355752,0.8353501099,0.4452055189,0.424088407,1.242124418,0.9761409398,1.090539996,1.021246037,0.6821214326,,3.049851765,8.623217835,5.219402416,-1.880275708,-1.750587912,-1.449401076,-1.80841583,-1.984283591,1.274250087,-1.984283591,-1.791746623,-1.761205691,-1.908173188,-1.925902385,-1.191107657,-1.827729877,1.61944103,-1.68675595,-0.9165280285,-1.468350106,-1.774437192,-1.659953681,-1.810597484,-1.840153619,-1.869411964,-1.523197228,-0.9690148209,-1.347634737,-0.7892958553,-1.597409965,-0.9558780295,-1.143178453,,,-1.38800802,-1.463702822,-1.804462829,-1.553589939,-1.829269428,-1.73180457,-1.570840742,-1.598872459,-1.802294924,-1.676724448,-0.7711066081,-1.625444207,-1.082664331,-1.711904555,2.433077601,-1.513393269,6.516128366,-1.769616359,-1.72446489,-0.7398615991,-1.596674137,-1.705063115,-1.86163083,,,,,,,,,,3.263123965,2.380552357,-1.756721388,-1.984283591,-1.313429914,-1.417865691,5.576532036,-0.9028226417,-1.766209622,-1.852147906,-1.960263663,0.3759998533,-1.960938355,8.691493489,-1.704853399,-1.622574309,-1.898948483,-1.325179831,-1.371079831,-1.681186882,-1.662202087,-0.8684172967,-1.782712363,-1.75614613
p005,0.875085964,0.7848830781,1.895412072,0.4746888172,0.6572216835,1.166881683,1.245303481,-1.144001019,-0.01441397924,-0.9169848453,-0.9417554487,-1.25301658,-1.299414276,-1.377358877,-1.382405828,-1.388757907,-1.385276183,-1.385334915,-1.384956644,-1.365061332,-1.345420103,-1.345168622,-1.417321117,-1.338306243,-1.384630766,-1.364842726,-1.341569298,-1.423227949,-1.355346648,-1.394066324,-1.390047463,-1.404758293,-1.391382471,0.1562670271,0.9588335913,0.7606757272,0.3945021869,-0.3788863962,-0.5801302531,-0.9628402264,-1.383538878,,-1.390172442,-1.345525454,-1.355068789,-1.370054424,-1.363441547,-1.306652693,-1.367015985,-1.388534311,-1.36152779,-1.396386718,-1.395727822,-1.423227949,-1.372327334,-1.423227949,-1.391474796,-1.369648714,-0.9152991912,-1.391883689,-1.349213681,-1.401761368,-1.423227949,-1.363466784,-1.400512553,-0.5898701864,1.259645173,-0.3372867744,-0.7691869882,-1.423227949,-1.284278883,-0.6993361942,-1.22241013,-0.4442767938,,-0.2097423176,0.5272024668,-1.366565783,-1.378244616,-1.291286194,-1.371189012,-1.392623138,-1.369792961,-1.391880525,-1.390505661,-1.391317529,-1.378245233,-0.1067313289,-1.342421204,-1.380543955,-0.3496878339,-1.383066191,-1.377688836,-1.389350522,-1.395552166,-1.387609201,-1.400489949,-1.390958229,-1.39636635,,,,,,,,,,-1.391943488,1.196217917,-0.8496553661,-1.130484584,-1.147240575,-1.385691762,-1.386472994,-1.394364674,-1.344019018,-1.378856876,-1.360906803,-1.31039637,-1.224401264,-0.9844061506,-1.390925052,-0.9025346193,-0.6565430938,-0.3033686495,-0.8667619292,-0.7447022694,-0.4785225579,-1.403423767,-1.342758637,-1.24292355
p006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p007,1.612975135,-0.1132341053,1.258945125,-0.3057010861,-0.7696438943,-0.7509149628,-0.6403610884,-0.7830245979,-0.7193404747,-0.9089964961,-0.3814919966,-0.7772319569,-0.8674979141,-0.7858137732,-1.159998232,-1.098428524,-1.038701737,-1.132067366,-1.122977969,-1.007795318,-1.019951887,-0.5564938813,-0.858441319,-0.899448588,-0.9854487228,0.2215453008,-0.3784532032,-1.018111249,-1.078324845,-1.018509092,-1.023095693,-1.157107599,-1.106666753,3.128065596,-0.2402364882,0.4160439368,1.055374787,-0.539497286,-0.6033166665,-0.5313498357,-0.661355119,,-0.4927825525,-0.5787511221,-0.9357700488,-0.671914249,-1.015551418,-0.9002779698,-1.073559257,-1.108351459,-1.026284429,-1.07620906,-1.097778969,-1.122492495,-0.766694077,-0.1975821618,-0.9153222996,-0.962316368,-0.9697131226,-1.045477355,-0.5613411781,-1.097932417,-1.173921864,-0.951858743,-1.101385029,-0.9610236705,0.9027595819,0.7673728458,0.2920816742,-0.4724666206,-0.6175687434,-0.7768155977,-0.7931310588,-0.8350015307,,-1.081175725,-0.906676953,-0.5370171091,-0.3676451363,-1.09808593,-0.9951565811,-1.086265194,-1.090279605,-1.196472274,-1.101174796,-0.9084560401,-1.111270168,0.1118062061,-0.7842360793,-0.3092626495,-1.001419548,-0.9757542008,0.5411252607,-0.8114815148,-1.139951534,-0.8515507707,-0.5485474442,-1.134535796,-1.160568325,,,,,,,,,,-0.7294232433,-0.7194202945,-0.6985074742,-0.7417564496,-0.8871441725,-0.6554082724,-1.003754522,-0.9719421873,-0.8658700214,-1.006120588,-0.1668891801,-0.9720240002,0.4740696221,0.6071076155,0.004273680096,2.975049645,0.3453494526,0.1235068231,-0.7753967996,-0.7365054173,-0.5951683277,-0.5586595772,-0.8120216462,-0.9058938014
p008,-0.5547766688,0.4918840192,1.222330941,0.5198325871,-0.2567438557,-1.458541913,2.005899971,0.1548183847,-1.195044194,-1.403847686,-1.480392567,-1.48823846,-1.500749528,-1.50611468,-1.512465731,-1.514370004,-1.515786325,-1.515669257,-1.516869192,-1.519083566,-1.518494879,-1.518217133,-1.518128448,-1.520185982,-1.51978081,-1.519934387,-1.520543185,-1.519328994,-1.519053813,-1.519541112,-1.519636388,-1.520736656,-1.520360758,-0.4530679762,0.6588144228,0.5209875561,1.35772639,0.1069470294,0.9245937266,-0.9496001067,-0.2787233405,,-0.8129740863,-1.145563036,-1.47959935,-1.499408779,-1.503304711,-1.51143215,-1.51509254,-1.518475165,-1.515653321,-1.517007621,-1.514623252,-1.518586559,-1.519640254,-1.519481967,-1.519824317,-1.520244281,-1.520337883,-1.520114355,-1.519929306,-1.519724958,-1.52009954,-1.519741694,-1.520361616,-1.52061318,0.4195723525,1.018689838,0.7374187149,-0.6580236901,-1.452319586,-1.323028872,-1.356764494,-1.397925431,,-1.215394693,-1.336956945,-1.474602305,-1.500619002,-1.504865794,-1.508756766,-1.5146517,-1.51634217,-1.51569192,-1.517576231,-1.519398071,-1.518003102,-1.51947811,-1.519599025,-1.519237341,-1.520355852,-1.519994588,-1.519784665,-1.518816408,-1.5198117,-1.519690403,-1.520027967,-1.520257417,-1.519481079,,,,,,,,,,-1.224375707,-1.349801851,-1.320671145,-1.029910484,-1.504858458,-1.491007966,-1.51831379,-1.466590444,-1.521630465,-1.521630465,-1.518764606,-1.521273163,-1.518501558,-1.517885258,-1.518845008,-1.519006756,-1.518756909,-1.518923351,-1.515939976,-1.518305021,-1.51908258,-1.519291876,-1.518994396,-1.519333777
p009,0.06693141549,0.7992736801,3.274287477,-0.440953314,-0.4420502589,-0.5601519005,-0.6149275034,-0.6021804266,-0.4240471917,-0.6699922242,-0.6604062326,-0.6347073027,-0.6509143376,-0.6426317697,-0.658158628,-0.6713654243,-0.6707986759,-0.673670169,-0.6749711025,-0.675456753,-0.6791407755,-0.6736479151,-0.6695311934,-0.6740716925,-0.6769382863,-0.677738754,-0.6755475085,-0.6814442606,-0.6812557971,-0.6809905619,-0.6811205705,-0.6826164171,-0.6816645303,1.751018243,-0.4325917465,-0.3064580394,-0.3004731085,1.173531719,-0.2674059789,-0.5016681465,-0.6395031259,,-0.6195500197,-0.662218232,-0.6629366743,-0.6456386177,-0.6422589279,-0.6625244991,-0.6726598624,-0.6714357953,-0.6724988446,-0.6754897536,-0.6758566446,-0.6782468028,-0.6705794737,-0.6719523509,-0.6733791042,-0.6747604371,-0.6771493178,-0.6792203062,-0.6796964323,-0.6807948438,-0.6812190297,-0.681577408,-0.6822992729,-0.682064093,1.610246832,-0.06283144978,-0.5744584742,-0.6046991981,-0.578451408,-0.5596018915,-0.5962793521,-0.5906040444,,-0.6212846223,-0.6585188469,-0.648605425,-0.643453995,-0.6430341488,-0.6610877126,-0.66563805,-0.6712787735,-0.6730151284,-0.6757193079,-0.6763503213,-0.6773898499,-0.6750870376,-0.668816647,-0.6739378566,-0.676327707,-0.6780173585,-0.6798900674,-0.6809532481,-0.6805226155,-0.681259318,-0.6816323831,-0.6819768842,-0.6816033225,,,,,,,,,,-0.6697675857,-0.6179043263,-0.6627496727,-0.64502909,-0.649350744,-0.6448534237,-0.6660527646,-0.6718772297,-0.6746532624,-0.6708344809,-0.6711092603,-0.6754472303,-0.6655364071,-0.6690019209,-0.6717303471,-0.6726333337,-0.6743563691,-0.6761292102,-0.6805138629,-0.6806109324,-0.6790155053,-0.6807802834,-0.6823190987,-0.6816658463
p010,-0.6951964013,1.359171465,-0.1165133542,-0.1206859964,0.9245421471,-0.4812480019,-1.038109271,-0.1554851109,5.500499207,1.17712808,0.8627017915,-1.120100872,-0.008024252304,-1.77799119,-0.3471349061,-1.776313522,-1.783123948,-1.299286004,-1.803378587,-1.722156929,-1.837813262,-0.8353498933,-1.817219222,-1.810831314,-1.864984206,-1.844790802,-1.464480456,1.834781979,-1.790286313,-1.361171023,-1.842679739,-1.836958776,-1.837503297,2.062541152,1.652465166,-0.7232075705,0.0755019211,0.1424668671,0.3555376154,0.1740833107,-1.38152641,,1.773202155,2.359743307,-1.429746738,-0.2855148824,-1.72096382,-1.645828864,-1.722081054,-1.228248539,-1.708622282,-1.757449684,-1.591144702,-1.748046775,-1.136466164,-0.897966375,-1.820363606,-1.805099319,-1.815868232,-1.817563462,-1.82866374,-1.736216598,-1.811475792,-1.795883308,-1.844811985,-1.765055504,1.7017993,-1.44420529,0.3754014252,-0.3278584386,0.231060694,-0.5707981663,-0.2108886975,-1.788848355,,1.67012124,1.396169346,-1.153432297,-0.4976198981,-1.795615281,-1.777063581,-1.763386209,-1.803964011,-1.800431298,-1.826907083,-1.629280609,-1.83732227,-1.770327364,-1.78874619,-1.844480838,-1.846522128,-1.288984257,-1.853600457,-1.778437466,-1.829595908,-1.250663072,-1.747190487,-1.810522039,-1.8281718,,,,,,,,,,2.661638687,0.9585781973,1.422903095,4.514392494,3.142911763,0.7435246199,2.126038129,2.757220296,3.496611159,0.2467676853,-0.1966635128,0.4163815537,1.215594738,0.5788515458,2.323236451,0.7481772658,-0.8678283179,-0.910288273,1.515269138,-0.3805281856,-0.6419343114,-1.011133437,3.464654198,0.8871312144
p011,0.5078644702,1.669426853,1.282432004,0.6139886887,0.1129255582,0.2600065993,-1.350256287,-0.1422228127,-1.363126034,3.573960233,-1.30112733,-1.28891583,-1.317377829,-1.327265799,-1.360893041,-1.363126034,-1.311817941,-1.323270618,-1.194813156,-1.091469127,-1.339713516,-1.286489975,0.5995003469,-1.305175035,-1.310192681,-1.328145054,-1.339931357,-1.246610428,-1.323046337,-1.337093347,-1.329536466,-1.333048575,-1.333627188,-0.160656728,0.8389894301,1.039778816,0.4394937358,-0.3814350992,-0.3734765974,-0.5074508636,-1.317370342,,5.657216332,-1.25071226,-1.189672428,-1.300428538,-1.288181107,-1.312653658,-1.321576155,-0.5204640221,-1.320667848,-1.224276321,-1.339158264,-1.343313747,1.992547478,-1.298662274,-1.041330959,-1.3267703,-1.331644597,-1.330548444,-1.311080377,-1.320941634,-1.334106948,-1.291537213,-1.322906565,-1.216979475,1.813896399,-0.3905575433,-1.108082877,-1.140766069,-0.6057311943,-1.279944459,-1.276913356,1.456061675,,-1.134762408,-1.254664691,-1.254771616,-0.2578546176,-1.248992866,-1.315029528,-1.28656194,-1.309764695,-1.334658705,-1.336765184,-1.33533337,-1.337039303,-1.19331195,-1.255011235,-1.302065844,-1.300490736,-1.331937725,-1.302952502,-0.9540531212,-1.314215383,-1.333223844,-1.020164109,-1.335439775,-1.343834968,,,,,,,,,,7.914979541,2.560073831,1.855541937,-1.321152646,1.174804215,-1.328666329,-0.5896760069,-1.327568017,-1.330188446,-1.339018861,-1.353706681,-1.350559983,0.4485934399,-1.268813294,-1.105835492,-1.289103688,-1.317578891,-1.335557058,0.561772227,-1.310164678,-1.330606342,0.464899446,-1.311973938,-1.342097534
p012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
p013,1.12834007,1.74386995,1.087976251,0.8968017678,-0.77257873,-0.8063743071,-0.8077671145,-0.8151767722,-0.7316062248,-0.6775394576,-0.7728228694,-0.8267156035,-0.8251028559,-0.8336106707,-0.8428809698,-0.8475092335,-0.855058673,-0.8528528464,-0.8532195566,-0.8546317284,-0.8573380961,-0.8603715047,-0.8604521042,-0.8595732288,-0.8588305919,-0.8569408493,-0.8601313938,-0.82752354,-0.8546638241,-0.8469312884,-0.8554673953,-0.8555787826,-0.8601441067,0.9289332515,1.104473887,-0.2390818812,-0.03610821567,0.7096043974,-0.7754918426,-0.8076307964,-0.8072101965,,0.3737866038,-0.8225770959,-0.8286365811,-0.8399896829,-0.8383449869,-0.8402829903,-0.8509224252,-0.8474507623,-0.6856754243,-0.8538168315,-0.857499771,-0.8567996215,-0.857808741,-0.8580392815,-0.8578303775,-0.8467685179,-0.8582882269,-0.8601319652,-0.834849395,-0.8466064886,-0.8496943617,-0.8519304215,-0.857814033,-0.8617349771,2.352343862,0.6098624565,-0.7402762058,-0.7849326929,-0.7550019045,-0.808791196,-0.784827871,-0.8209561675,,0.2867813844,-0.7023579491,-0.819899119,-0.8245782846,-0.8472940295,-0.8446705513,-0.8525097129,-0.8500669728,-0.8541069952,-0.8517570591,-0.8569206563,-0.8550741374,-0.8597198735,-0.8580291727,-0.8598259324,-0.8379252883,-0.8585285505,-0.8618783828,-0.8387418386,-0.8469338438,-0.851867789,-0.8548230289,-0.8563186229,-0.8590837203,,,,,,,,,,-0.7080037782,0.8205847518,-0.8042112627,-0.7884535838,-0.7978954537,-0.8063091116,-0.8200374381,-0.8119118639,-0.8059205068,-0.8098181677,-0.8060738749,-0.8167676928,-0.8246937798,-0.8226418103,-0.8238902947,-0.8238731781,-0.8263631616,-0.8254526366,-0.7667385481,-0.7500871471,-0.768330543,-0.7648585846,-0.7637348426,-0.7720694836
