Category,Connection,ROI1,ROI2,Statistic,F,p-unc,p-FDR
Intra-amygdala,Connection 1,L_Amygdala,R_Amygdala,"F(12,17)",5.32,0.001005,0.002513
Amygdala-vmPFC,Connection 2,L_Amygdala,L_BA25,,,,
Amygdala-vmPFC,Connection 3,L_Amygdala,R_BA25,"F(12,17)",2.75,0.028052,0.038252
Amygdala-vmPFC,Connection 4,L_Amygdala,L_BA32,"F(12,17)",5.47,0.000851,0.002321
Amygdala-vmPFC,Connection 5,L_Amygdala,R_BA32,"F(12,17)",7.42,0.00013,0.000488
Intra-amygdala,Connection 6,R_Amygdala,L_Amygdala,"F(12,17)",7.16,0.000164,0.000547
Amygdala-vmPFC,Connection 7,R_Amygdala,L_BA25,"F(12,17)",3.44,0.010177,0.015266
Amygdala-vmPFC,Connection 8,R_Amygdala,R_BA25,,,,
Amygdala-vmPFC,Connection 9,R_Amygdala,L_BA32,"F(12,17)",4.63,0.002192,0.00411
Amygdala-vmPFC,Connection 10,R_Amygdala,R_BA32,"F(12,17)",9.63,0.000023,0.000127
vmPFC-Amygdala,Connection 11,L_BA25,L_Amygdala,,,,
vmPFC-Amygdala,Connection 12,L_BA25,R_Amygdala,"F(12,17)",3.28,0.012799,0.018284
Intra-vmPFC,Connection 13,L_BA25,R_BA25,"F(12,17)",4.66,0.002121,0.00411
Intra-vmPFC,Connection 14,L_BA25,L_BA32,"F(12,17)",4.17,0.003883,0.006472
Intra-vmPFC,Connection 15,L_BA25,R_BA32,,,,
vmPFC-Amygdala,Connection 16,R_BA25,L_Amygdala,"F(12,17)",2.66,0.032016,0.040493
vmPFC-Amygdala,Connection 17,R_BA25,R_Amygdala,,,,
Intra-vmPFC,Connection 18,R_BA25,L_BA25,"F(12,17)",5.17,0.001181,0.002726
Intra-vmPFC,Connection 19,R_BA25,L_BA32,"F(12,17)",2.66,0.032395,0.040493
Intra-vmPFC,Connection 20,R_BA25,R_BA32,"F(12,17)",3.57,0.008574,0.013538
vmPFC-Amygdala,Connection 21,L_BA32,L_Amygdala,"F(12,17)",11.44,0.000007,0.000052
vmPFC-Amygdala,Connection 22,L_BA32,R_Amygdala,"F(12,17)",9.28,0.00003,0.000127
Intra-vmPFC,Connection 23,L_BA32,L_BA25,"F(12,17)",4.26,0.003458,0.006103
Intra-vmPFC,Connection 24,L_BA32,R_BA25,"F(12,17)",6.43,0.000321,0.000964
Intra-vmPFC,Connection 25,L_BA32,R_BA32,"F(12,17)",35.77,0,0
vmPFC-Amygdala,Connection 26,R_BA32,L_Amygdala,"F(12,17)",9.41,0.000027,0.000127
vmPFC-Amygdala,Connection 27,R_BA32,R_Amygdala,"F(12,17)",16.95,0,0.000004
Intra-vmPFC,Connection 28,R_BA32,L_BA25,"F(12,17)",2.51,0.040682,0.048818
Intra-vmPFC,Connection 29,R_BA32,R_BA25,"F(12,17)",4.98,0.001468,0.003146
Intra-vmPFC,Connection 30,R_BA32,L_BA32,"F(12,17)",149.31,0,0